Target,Text,Label
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Die wirtschaftlichen Vorteile überwiegen die Nachteile. Den Nachteilen (Lohndumping, Scheinselbständige etc.) ist mit anderen Massnahmen als mit der schädlichen Kündigung des Abkommens zu begegnen.",FAVOR
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","Die Aussenpolitik darf und soll aktiv sein, dazu muss und darf die Neutralität nicht aufgegeben werden. Diese schafft mehr Profil und Glaubwürdigkeit als Anbiederung.",AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Das bestehende Freizügigkeitsabkommen zeigt auch negative Auswirkungen, z.B. auf dem Arbeitsmarkt. - Diese negativen Auswirkungen sind zugunsten von Schweizer Bürgern und -innen zu minimieren. - Insbesondere Arbeitnehmer über 50 haben es schwer, von einem vollends liberalen Arbeitsmarkt angenommen zu werden.",AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Zumindest die aktuelle Ventilklausel ist eine Fehlkonstruktion, da sie den Basiseffekt nicht berücksichtigt.",FAVOR
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,Die flankierenden Massnahmen müssen gesichert sei.,FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,Im heutigen politischen System der EU sind die Demokratiedefizite noch zu gross.,AGAINST
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?",Mehr Engagement in Sachen Menschenrechtspolitik. Kein militärisches Engagement ausserhalb der CH.,FAVOR
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Dieses Abkommen bringt vor allem den Schweizerinnen und Schweizern viel! Man stelle sich vor, unsere Studentinnen und Studenten oder Leute, die für einen interessanten Job in ein anderes europäisches Land wollen, würden von diesen Ländern zurückgewiesen, weil die Schweiz ihrerseits die Grenzen gegenüber Europäerinnen und Europäern dicht macht? Das wäre für uns sehr schlecht, denn die Schweiz liegt mitten in Europa.",FAVOR
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,Die flankierenden Massnahmen im Arbeits- uns Wohnbereich greifen leider noch nicht ganz!,FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Die EU ist zu liberal. In so einem grossen Ensemble geht man verloren und schwimmt mit dem Strom. Die CH kann sich heute als Aussenseiterin besser profilieren. Ganz abgesehen von der Frage der direkten Demokratie, die wir alle in der CH schätzen und welche die EU stark in Frage stellen würde",AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Unser Wohlstand beruht auf einem regen Austausch gerade mit EU-Staaten, den wir nicht behindern sollten.",FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Auch wenn die EU im Moment eine etwas klapprige Braut ist, kommt die Schweiz nicht umhin, ihr Verhältnis zu ihr grundätzlich zu klären. Ein Beitritt hätte ein paar Nachteile, aber auch viele Vorteile.",FAVOR
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","Da merkt man aber wenig von der ""aktiveren"" Aussenpolitik, wenn man sieht, wie die Geier aus gewissen Ländern kreisen....",FAVOR
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Wir Schweizer, bzw Basler haben bislang nur von der Personenfreizügigkeit profitiert. Das Problem ist die Schwarzarbeit, die nur durch strengere Arbeitskontrollen und viel höhere Sanktionen bekämpft werden kann. Stichwort: Vorbild Österreich, mit 60'000 Franken Busse für den Arbeitgeber pro ermittelten Fall von Schwarzarbeit.",FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Zum jetzigen Zeitpunkt eher nein, doch in einigen Jahren kommt die Schweiz nicht darum herum. Denn die EU ist unser wichtigster Handelspartner. Unserer Region Basel würde ein EU-Beitritt enorm fördern. Denn so können wir endlich, über die Grenzen hinweg wachsen. Der Beitritt in einer Neuauflage des EWR's sollte hingegen bereits heute geschehen.",AGAINST
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","Absolute Neutralität gibt es ohnehin nicht. Es ist nicht möglich politisch, wirtschaftlich und gesellschaftlich neutral zu sein. Die beste Mehtode damit umzugehen, ist die aktive Neutralität, die zudem den Ruf der Schweiz international enorm verbessert hat. Ausserdem hat die aktive Aussenpolitik zu gute internationale Zusammenarbeiten geführt. Somit können wir international selbsbewusster auftreten.",FAVOR
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,Die flankierenden Massnahmen gegen Lohndumping müssen zwingend weiter verschärft werden.,FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Aktuell stellt sich die Frage nicht und es gilt, den Volkswillen zu respektieren. Es scheint aber klar, dass der Bilaterale Weg in einer gewissen Krise steckt. Und es ist wohl klar, dass die Schweiz zu wenig Freunde und ein zu schlechtes Image in Europa hat.",AGAINST
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?",Eine Meinung zu vertreten schliesst meines Erachtens Neutralität nicht aus.,FAVOR
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Steuerungsmöglichkeiten bestehen, sie werden jedoch nur bedingt genutzt.",FAVOR
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"Eine Öffnung der Agrarmärkte mit der EU brächte zwar etwas tiefere Preise. Auf der anderen Seite wären ganze Produktionszweige wie beispielsweise der Ackerbau, der Gemüsebau oder der Obstbau gefährdet. Die Schweizer Bauern würden sehr viel weniger verdienen, der Strukturwandel würde beschleunigt und negative ökologische Folgen sind nicht auszuschliessen.",AGAINST
Befürworten Sie das bestehende Personenfreizügigkeitsabkommen mit der EU?,"Die Personenfreizügigkeit hat der Schweiz einen wirtschaftlichen Aufschwung beschert. Doch der bestehende Spielraum muss ausgenutzt werden, um den wachsenden Herausforderungen auf dem Wohn- und Arbeitsmarkt zu begegnen.",FAVOR
"Die Schweiz verfolgt seit einigen Jahren eine aktivere Aussenpolitik, die sich weniger an der strikten Neutralität orientiert. Begrüssen Sie dies?","Neutral sein darf nicht heissen, dass man den Kopf in den Sand steckt, niemandem weh tut und mit beiden Seiten schön Geschäfte macht. Neutral sein heisst, dass man sich nicht in bewaffnete Konflikte einmischt und schon gar nicht solche anzettelt. In diesem Sinne befürworte ich eine aktivere Neutralitätspolitik.",FAVOR
Soll die Schweiz innerhalb der nächsten vier Jahre EU-Beitrittsverhandlungen aufnehmen?,"Verhandlungen erst, wenn sich die EU stabilisiert hat.",AGAINST
Soll die Schweiz ein Agrarfreihandelsabkommen mit der EU abschliessen?,"Das würde wohl die totale Subeventionierung der Bergbauern bedeuten, wäre für den Konsumenten wohl daber das Beste...",FAVOR
