tweet,stance
Hoy me ponen otra vacuna 😭😭😭,FAVOR
"@JuanGrvas Rizando el rizo para defender lo indefendible en un texto donde los pro-vacunas son antivacunas y las leyendas, hechos.",NONE
Al final la vacuna no dolio tanto.,FAVOR
"La médica me ha dicho que si al próximo mes sigo igual, suspende la vacuna :'D casi 3 años de vacuna todos los meses a la basura~",FAVOR
"Desde el 19 de Mayo, se podrá administrar la vacuna antivaricela (varilrix) en el hospital el ángel de Málaga. Precisa prescripción.",NONE
ME TIENEN QUE PONE LA VACUNA DE PAPILOMAA😭😭,FAVOR
"Me tocó ir a Pamplona a por la maldita vacuna de la varicela y ahora dicen en el CS que no se la ponen.Y en la privada 110€,De vergüenza!😡",FAVOR
"Moderna pide la autorización de su vacuna contra la COVID para su uso en la Unión Europea tras confirmar que tiene una eficacia del 94,1% https://t.co/eFCKVUjnka vía @eldiarioesQue hartura con la vacuna,esto es cansino. Es que para desarrollar una enfermedad grave no es inmediat",AGAINST
AstraZeneca y la Universidad de Oxford anuncian que su vacuna contra la covid-19 tiene una eficacia del 70%https://t.co/2YZQQq6n1o https://t.co/Q2HdE8MSBl,NONE
Me va a doler y pf. Puta vacuna tio.,FAVOR
#Juernes y a ponerse la vacuna.,FAVOR
@anaprietonieto @sanidadgob @ElGlobalNet  ¿DÓNDE PONER LA VACUNA DE LA VARICELA EN VALENCIA?http://t.co/NJk0jraxJO,NONE
"Fuera de si la vacuna es segura o no, el hecho de estar martirizando a la población con este tema en momentos de pandemia es absolutamente PERVERSO Y RUIN.Para MAÑANA deberían haber estado las demandas al Estado y a TODOS los responsables de este juego asqueroso.",AGAINST
Solamente RABIA me da escuchar este tipo de opiniones absurdas contra de la vacuna del VPH. Un apysarapó bien cargado a la monja desde acá,FAVOR
Que el ébola solo afecta a África? Bah! Pa que queremos vacuna.#pensamientoprimermundista,NONE
Día de vacuna aushh!!,FAVOR
Comprando vacunas de la varicela para los peques en Andorra 😁😁😁 Primera escapada en 14 meses solos 😃 @… http://t.co/ahJ9UwCdhB,FAVOR
Pocos antivacunas veo entre la generación que hoy ha recibido el pinchazo. Será porque han visto morir gente de enfermedades ya erradicadas.  #VacunaCOVID19,FAVOR
No tenemos vacuna contra el #Ébola #RSE https://t.co/6mbHn2nBRI,NONE
El día 27 me vacuno :-) .,FAVOR
"DIOS, NOS VOLVIMOS LOCOS :@... RT @laverdad_es Nueve niños muertos de sarampión por el aumento de personas no vacunadas http://t.co/Mf1r92lm",FAVOR
"La xunta utiliza ""contagios"" de los geriátricos ya vacunados para CONFINAR municipios.TODOS LOS + ESTÁN EN LA RESIDENCIA y ya pusieron las 2 dosis de la bakuna.Para eso quiere bakunar #feijooAprision?https://t.co/1RQTsNc31S",AGAINST
Esta tarde segunda vacuna del papiloma #caca,FAVOR
"Tal vez habría que enviarles esta información a Policías y Guardias Civiles (y otros profesionales) para que no vayan al ""matadero"" de vacunas Covid19 experimentales ARNm.Información: 👇",AGAINST
"Descubrimiento de la vacuna contra la polio, ¿sabíais que antes aplicaban las vacunas en la espalda?",NONE
"Una vacuna experimental contra el dengue reduce en un 95,5% los casos graves. Podría estar lista en 2015. http://t.co/QKn8EJr2g5",NONE
Primera dosis de la vacuna Covid puesta. #yosimevacuno https://t.co/DzoP2uGNKt,FAVOR
"@AgustinG16 Pues yo que soy de tu opinión, en este caso tengo que decirte que solo porque se posicionó a favor de la vacuna y enfatizó la importancia de seguir siendo cautelosos ante esa "" pedazo"" audiencia...Olé Ana .",FAVOR
"Principal tema de la reunión virtual G7. Apoyar la distribución de las ""vacunas"" en el mundo. Piensan destinar miles de millones a este ""Plan "". Alguna duda de que el sistema podrido se juega la supervivencia ? Los esclavos tienen que ser reducidos y sometidos. No pararán !!! https://t.co/Vw9r2XudTZ",AGAINST
Habemus vacuna.2021 será el verdadero año de la Enfermería.#NursingNow  https://t.co/rSvumhxpli,FAVOR
ES : Más cerca de la vacuna contra el sida - ... que utilizará por primera vez moléculas RNA (ácido... http://t.co/85nfmCjcEb,NONE
"Uruguay vacunó contra gripe A H1N1 a 1/3 ++ de la población, ++520.000 personas Una persona murió por esta gripe hay enfermos graves",NONE
ya cn la vacuna puesta y aora para el dentista.... :'(,FAVOR
"La gente vociferando que solo los políticos se vacunan y el resto es de segunda. Gritando ""Vacunas para todes"". El plan es perfecto. Que no los confundan. #Plandemia  https://t.co/AncOiBXabg",AGAINST
"La asociación de imanes y ulemas de Senegal ha recomendado a la población que se vacune porque lo contrario es un “suicidio”, lo cual está prohibido por el islam. https://t.co/Gu4NW3sZ2Q",NONE
"Pfizer anunció solicitará la aprobación para el uso de su vacuna de Covid-19 de emergencia en Estados Unidos, tras haber concluido el ensayo respectivo efectuado a gran escala registrando una eficacia del 95%.#vacunaCOVID19 #Salud#tendenciasplusec https://t.co/XhEyKRBHVL",NONE
"Si eran terminales, ¿Para qué los vacunaron? #Plandemia https://t.co/4mKenMeCdj",AGAINST
Mañana vacuna otra vez :-),FAVOR
Muy interesante @navedelmisterio #Horizonte hoy con el bueno de @agarroj Yo una cosa tengo clarísima desde hace mucho: por mi y por ti ,FAVOR
"Me consuela saber que de 56 personas 49 se vacunarían.Si queremos acabar con esto, vacunémonos. Por ti, por tu familia, por todos  https://t.co/jqwIFUIoc9",FAVOR
Mañanaa vacuna 😱😱😢😢,FAVOR
Semana europea de las vacunaciones 2020  @CAV_AEP https://t.co/ebpuiFPpnm https://t.co/yfbJTwVz2I,NONE
"ya la vacuna puesta porfin, terminando de desayunar con la mami y a cas de la abuelaa",FAVOR
"Otro dedazo, otro #Ayusazo. Nuestro dinero no irá a reforzar la atención primaria, si no a adjudicar un contrato con Cruz Roja por más de 800.000€ para reforzar la vacunación. Otro grave insulto a la #SanidadPública y nuestros profesionales. https://t.co/svbMbZISiG",NONE
hoy última vacuna:(,FAVOR
"Somos mansos en algunos aspectos, pero estoy sorprendida de la cantidad de gente que escucho y leo que no se va a oner la vacuna. No van a poder con nosotros. TRIUNFA LA LIBERTAD https://t.co/nejemqPz4H",AGAINST
Ultima vacuna puesta 👌,FAVOR
"@enriquenormand @elmundoes Y más: esta niña murió de una complicación de la varicela, para la q ahora en España... ¿No hay vacuna?",FAVOR
"De todas las vacunas que me he puesto, en esta es en la que estoy más informado, formado y concienciado de todas. Espero que esto sea el principio del fin de la distopía que vivimos. #vaccinationCovid  #alesillesensvacunam @HospitaldeInca https://t.co/3FOnO0AQXj",FAVOR
"Mi revision sobre las #VacunasCovid19: Si no lo haces por ti, hazlo por el rebaño https://t.co/BkVeUgqeiZ vía @Conversation_E ¡vacúnate, vacúnalos! ",FAVOR
Muchos mayores VACUNADOS muriendo!!! Pero esto qué es??? https://t.co/4YZVyowtBu,AGAINST
@ollicarreira @jmtraductor pero ¿hay antivacunas en España? Yo pensaba que ese nivel de retraso era estadounidense exclusivamente.,FAVOR
"Estrategias de propaganda para animar a la población indecisa a vacunarse:1️⃣ Hay escasez de vacunas. Decídete ya o te quedas sin ella.2️⃣ Los poderosos se saltan el orden de vacunación. Imagínate si será buena.3️⃣ AstraZeneca es mala, pero Pfizer es buena. Póntela.",AGAINST
"En @EspejoPublico están hablando sobre la administración de vacunas, las de la varicela ""las han recortado"" en varias comunidades autónomas.",NONE
El caso de Israel demuestra que las vacunas del coronavirus no sirven: Se espera un cuarto confinamiento. https://t.co/6PeTJEeine,AGAINST
"Hay luz al final del túnel. 💉Por ellos, por tantos. https://t.co/KIQN96190w",FAVOR
"No hay vacunas para la varicela, no hay monton de  medicinas que cubra la s.s.",NONE
ES : Vacuna brasileña contra el VIH pasa las primeras pruebas de análisis http://t.co/wdFKpn0rYc,NONE
Vamos a la vacuna #sunny,FAVOR
Este año por la coincidencia temporal de la #gripe con la pandemia de #covid_19 debemos vacunarnos para reducir las complicaciones causadas por ambas enfermedades y evitar la sobrecarga en el sistema sanitario. Y en nuestra ciudad #melilla la situación es extrema    https://t.co/XZHurVk2AO,FAVOR
Vacuna puesta 👌,FAVOR
Me ponen la vacuna y para el entrenamiento #seamosfuertes,FAVOR
Hace días que no oigo hablar del ébola. Ya no hay contagiados en África? Han encontrado vacuna? Se han curado todos los africanos? #QuéBien,NONE
A por la vacuna 😥😷💉,FAVOR
